99,"Sparrbila","1884-1900",1,
100,"Täljbila","1884-1900",1,
101,"Timmerbila",,23,
102,"Timmerbila",,23,
103,"Timmerbila",,23,
104,"Handyxa No 13",,16,
105,"Timmerbila",,23,
106,"Billnäs/Kellokosken Slöjdyxa?",,23,
107,"Timmerbila",,8,
108,"Täljyxa",,20,
109,"Bergslagsmodell",,3,
110,"Skaftholk",,3,
111,"Kromad jubileumsyxa 1947","Sämre skick, lite slipad på m.m. glappande skaft",1,"111aa.jpg;111b.jpg;111c.jpg"
112,"Tjäckla, 50mm",,20,
113,"Forester, 3lbs",,1,
114,"32",,4,
115,"6",,4,
116,"Skaftholk","Oanvänd, Svart färg",7,
117,"Norsk Kjoreoks",,9,
118,"Handyxa, No 4",,16,
119,"Bältyxa, Gudbrandsdalen",,36,
120,"Bila med förfalskad Hjärtummärkning","Stämplad HJÄRTUM / 1894 | Johan Skog",23,"fuskhjärtum efter a.jpg;fuskhjärtum efter b.jpg;Fuskhjärtum innan.jpg"
121,"Beilpicke",,23,
122,"Timmerbila modell 1900, långt skaft",,2,
123,"Dubbeleggad, amerikansk modell",,2,
124,"Norsk modell",,9,
125,"Yankee/Ohio","Nyskick, Blåmålad, Etikett",7,"urafors.png"
126,"Västergötlands","Stämplad SÄTER VV BANKO",9,"IMG_20200910_161245.jpg;IMG_20200910_161250.jpg;IMG_20200910_161303.jpg"
127,"Skaftholk","Finskt utseende, böjt blad",37,"127a.jpg;127b.jpg"
128,"Scoutyxa","Stämplad VAR REDO",23,"128a.jpg;128b.jpg;128c.jpg;128d.jpg;128e.jpg;128f.jpg;128g.jpg;128h.jpg"
129,"Snickaryxa?","1900-1910 (H) stämpel",1,"1a.jpg;1b.jpg;1c.jpg"
130,"Handbila, saxslipad","1900-1910 (H) stämpel",1,"2a.jpg;2b.jpg;2c.jpg"
131,"Norsk","H|B stämpel, etikett, oanvänd",1,"3a.jpg;3b.jpg;3c.jpg"
132,"Skaftholksyxa",,38,"eia.jpg"
133,"Okänd","Drivet öga",23,"eia.jpg"
134,"Snickaryxa","Saknar hammarnacke",39,"unnamed(4).jpg"
135,"Forester 3lbs","Oanvänd",1,"tradera.jpg"
136,"Timmerbila","Renoverad, nästan allt AH bortslipat",6,"ah1.jpg;ah2.jpg;ah3.jpg"
137,"Norsk modell","Oanvänd, H|B och (H)-stämpel på bladet",1,"137a.jpg;137b.jpg;137c.jpg;137d.jpg"
138,"Holkyxa",,40,"140a.jpg;140b.jpg"
139,"Slöjdyxa","Dålig egg, någon infällning, slut på eggstål?",23,"139a.jpg;139b.jpg"
140,"2.5kg Yankee","Ramaryxan",1,"396549859_7f91e9eb-4326-4798-9ab3-232850acc6cd.jpg"
141,"Ohio","Omstålad hos Wetterlings, 321 och 3490",41,"141a.jpg;141b.jpg;141c.jpg;141d.jpg"
142,"Fyrflikig huggyxa","Köpt utan skaft",42,"142 försäljning.png"
143,"Stridsyxa",,43,"143 förs a.jpg;143 förs b.jpg"
144,"Liten",,1,"144a.jpg"
145,"Timmerbila",,17,"145a.jpg;145b.jpg;145c.jpg"
147,"Handyxa",,45,"147a.jpg;147b.jpg"
148,"Yankee/Ohio","Märkt MADE EXPRESSLY FOR ELLBEE LB, LTD, MONTREAL",23,"148a.jpg;148b.jpg;148c.jpg"
149,"Klyvyxa","Två handtag som bryts isär.",23,"149a.jpg;149b.jpg"
150,"Skaftholksyxa",,46,"150a.jpg;150b.jpg;150c.jpg"
151,"Liten","Med hål",47,"151a.jpg;151b.jpg"
152,"Kromad/Polerad","Stämpel: GRÄNSFORS ?",2,"152a.jpg;152a1.jpg;152b.jpg;152b1.jpg;152c.jpg;152c1.jpg"
153,"Kromad jubileumsyxa 1947","Bra skick",1,"153a.jpg;153b.jpg;153c.jpg;153d.jpg"
154,"Timmerbila","Täljbila utan holk HM-stämpel, Gjutstål Garanti",1,"154a.jpg;154b.jpg;154c.jpg;154d.jpg;154e.jpg"
155,"Arjeplogsyxan",,48,"155a.jpg;155b.jpg;155c.jpg"
156,"Multiverktygsyxa","Stämpel E\n..",23,"156a.jpg;156b.jpg;156c.jpg;156d.jpg"
157,"""Ruotsalainen""","Modellen finns i Billnäs bruks katalog",1,"157a.jpg;157b.jpg;157c.jpg"
158,"Kromad Turpentine","Kronyxa",35,"158a.jpg;158b.jpg;158c.jpg;158d.jpg"
159,"Norsk","Liten",23,
160,"Kromad Turpentine","Gjord inför världsutställningarna kring sekelskiftet",4,"160a.jpg;160b.jpg;160c.jpg;160d.jpg;160e.jpg"
161,"Scoutyxa",,23,"161a.jpg;161b.jpg;161c.jpg;161d.jpg"
162,"Boyscout/campingyxa","Svart",1,"162 163a.jpg;162 163b.jpg;162 163c.jpg;162 163d.jpg;162 163e.jpg"
163,"Boyscout/campingyxa","Polerad",1,"162 163a.jpg;162 163b.jpg;162 163c.jpg;162 163d.jpg;162 163e.jpg"
164,"Boyscout/campingyxa","Polerad, eggskydd, etiketten i gott skick",1,"164a.jpg;164b.jpg;164c.jpg;164d.jpg;164e.jpg;164f.jpg"
165,"Huggyxa med skaftholk","Omstålad av Wetterlings, 882",2,"165a.jpg;165b.jpg;165c.jpg"
166,"Bila Norrbotten","Fin klang",23,"166a.jpg;166b.jpg"
167,"Fällbar yxa",,49,"167a.jpg;167b.jpg;167c.jpg;167d.jpg;167e.jpg;167f.jpg;167g.jpg;167h.jpg"
168,"Klyvyxa",,10,"168a.jpg;168b.jpg;168c.jpg"
169,"Vikingyxa, stor",,25,"169a.jpg"
170,"15.2","Kromad/Förnicklad",5,"marieforskrom1.jpg;marieforskrom2.jpg;marieforskrom3.jpg;marieforskrom4.jpg;marieforskrom5.jpg;marieforskrom6.jpg"
171,"Dubbeleggad","STROAX",2,"171a.jpg;171b.jpg;171c.jpg;171d.jpg;171e.jpg;171f.jpg"
172,"Huggyxa No 4","C F Dahlgren",16,"172a.jpg;172b.jpg;172c.jpg"
173,"Ohio","Hachas De Acero Sueco - De Calidad Insuperable - Castor - Best Swedish Steel Axes - Lindén & Lindström - A:B Gothenburg",23,"173a.jpg;173b.jpg"
